agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
FAO,FAO,2022,19373,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,62963,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,13241676,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,58149073,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,1394880,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,372937,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,48433,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,1971237,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,300287,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,62963,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,2683207,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,387467,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,29060,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,387467,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,1506277,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,900860,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,174360,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,256697,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,174360,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
